Site,Date,Time,Parameter,Value
CUS,1/14/2020,3:00,SO2,-0.21
CUS,12/17/2020,4:00,SO2,-0.21
CUS,1/15/2020,2:00,SO2,-0.21
CUS,1/18/2021,23:00,SO2,-0.21
CUS,2/6/2020,20:00,SO2,-0.21
CUS,1/13/2021,23:00,SO2,-0.21
CUS,8/22/2020,2:00,NO,-0.21
CUS,5/29/2020,0:00,SO2,-0.21
CUS,3/16/2020,0:00,SO2,-0.21
CUS,1/17/2021,4:00,SO2,-0.21
CUS,4/9/2020,16:00,SO2,-0.21
CUS,4/6/2020,2:00,NO,-0.21
CUS,6/18/2020,0:00,SO2,-0.21
CUS,4/18/2020,12:00,SO2,-0.21
CUS,2/2/2020,5:00,SO2,-0.21
CUS,2/8/2020,20:00,SO2,-0.21
CUS,11/10/2020,23:00,SO2,-0.21
CUS,1/15/2020,3:00,SO2,-0.21
CUS,1/20/2020,4:00,SO2,-0.21
CUS,2/21/2021,23:00,SO2,-0.21
CUS,3/24/2020,2:00,NO,-0.20
CUS,2/14/2020,1:00,SO2,-0.20
CUS,3/3/2020,21:00,SO2,-0.20
CUS,8/10/2020,4:00,SO2,-0.20
CUS,1/10/2020,21:00,SO2,-0.20
CUS,8/11/2020,21:00,SO2,-0.20
CUS,4/10/2020,5:00,SO2,-0.20
CUS,4/23/2020,3:00,NO,-0.20
CUS,1/25/2020,1:00,SO2,-0.20
CUS,1/16/2021,3:00,SO2,-0.20
CUS,6/9/2020,21:00,SO2,-0.20
CUS,1/2/2020,5:00,SO2,-0.20
CUS,4/21/2020,1:00,SO2,-0.20
CUS,1/19/2021,20:00,SO2,-0.20
CUS,11/12/2020,21:00,SO2,-0.20
CUS,4/21/2020,3:00,SO2,-0.20
CUS,2/9/2020,16:00,SO2,-0.20
CUS,6/8/2020,4:00,SO2,-0.20
CUS,2/14/2020,18:00,SO2,-0.20
CUS,12/28/2020,4:00,SO2,-0.20
CUS,12/15/2020,23:00,SO2,-0.20
CUS,12/17/2020,1:00,SO2,-0.20
CUS,1/19/2021,22:00,SO2,-0.20
CUS,7/20/2020,22:00,SO2,-0.20
CUS,5/2/2020,2:00,SO2,-0.20
CUS,11/20/2020,4:00,SO2,-0.20
CUS,3/5/2020,3:00,SO2,-0.20
CUS,2/11/2020,23:00,SO2,-0.20
CUS,1/9/2020,20:00,SO2,-0.20
CUS,4/25/2020,1:00,SO2,-0.20
CUS,4/12/2020,18:00,SO2,-0.20
CUS,11/4/2020,19:00,SO2,-0.20
CUS,1/14/2021,3:00,SO2,-0.20
CUS,1/11/2020,4:00,SO2,-0.19
CUS,4/12/2020,7:00,SO2,-0.19
CUS,9/5/2020,2:00,SO2,-0.19
CUS,11/8/2020,17:00,SO2,-0.19
CUS,3/23/2020,17:00,SO2,-0.19
CUS,1/10/2020,1:00,SO2,-0.19
CUS,11/7/2020,0:00,SO2,-0.19
CUS,2/14/2020,3:00,SO2,-0.19
CUS,3/24/2020,2:00,SO2,-0.19
CUS,4/8/2020,21:00,SO2,-0.19
CUS,3/22/2020,17:00,SO2,-0.19
CUS,4/18/2020,6:00,SO2,-0.19
CUS,11/11/2020,4:00,SO2,-0.19
CUS,3/2/2020,4:00,SO2,-0.19
CUS,4/8/2020,17:00,SO2,-0.19
CUS,1/5/2020,15:00,SO2,-0.19
CUS,2/10/2020,21:00,SO2,-0.19
CUS,4/2/2020,23:00,SO2,-0.19
CUS,1/8/2020,21:00,SO2,-0.19
CUS,12/12/2020,3:00,SO2,-0.19
CUS,11/18/2020,4:00,SO2,-0.19
